1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
0.011946	0.011265	0.010948	0.010504	0.010208	0.009680	0.009568	0.009564	0.008969	0.008904	0.008710	0.008546	0.007954	0.007553	0.007360	0.007263	0.007427	0.007132	0.006937	0.006870	0.006639
0.013302	0.012599	0.012177	0.011868	0.011607	0.010925	0.010588	0.010341	0.009821	0.009671	0.009459	0.009738	0.008895	0.008574	0.008101	0.007834	0.007868	0.007963	0.007686	0.007673	0.007382
0.014626	0.013993	0.013580	0.013174	0.012762	0.012362	0.011837	0.011210	0.010616	0.010517	0.010285	0.010590	0.010198	0.009532	0.009082	0.008775	0.008519	0.008493	0.008585	0.008382	0.008338
0.016201	0.015541	0.015159	0.014733	0.014018	0.013745	0.013270	0.012552	0.011842	0.011228	0.011215	0.011504	0.011029	0.010833	0.010056	0.009785	0.009399	0.009349	0.009117	0.009288	0.009152
0.017715	0.017258	0.016649	0.016237	0.015640	0.015280	0.014891	0.014097	0.013263	0.012358	0.012154	0.012448	0.011944	0.011809	0.011447	0.010676	0.010530	0.010410	0.009820	0.009802	0.010201
0.019520	0.019097	0.018646	0.017801	0.017360	0.017017	0.016460	0.015706	0.014716	0.013742	0.013442	0.013331	0.012891	0.012704	0.012526	0.012135	0.011651	0.011675	0.010931	0.010729	0.010782
0.021773	0.021204	0.020624	0.019960	0.019166	0.018679	0.018500	0.017449	0.016376	0.015445	0.014983	0.014559	0.013838	0.013795	0.013621	0.013368	0.013321	0.012751	0.012331	0.011880	0.011703
0.024022	0.023453	0.022785	0.022154	0.021546	0.020506	0.020511	0.019419	0.018202	0.017213	0.016787	0.016200	0.015217	0.014751	0.014819	0.014470	0.014455	0.014397	0.013594	0.013491	0.012910
0.026034	0.025813	0.025219	0.024356	0.023772	0.022752	0.022525	0.021627	0.020376	0.019145	0.018740	0.018276	0.017206	0.016232	0.015899	0.015715	0.015649	0.015658	0.015264	0.014858	0.014528
0.028482	0.027723	0.027596	0.026995	0.026257	0.025184	0.025157	0.023672	0.022562	0.021336	0.020635	0.020350	0.019419	0.018140	0.017323	0.016808	0.017103	0.017012	0.016646	0.016753	0.016047
0.031010	0.030402	0.029803	0.029654	0.029079	0.028243	0.027925	0.026323	0.024692	0.023741	0.023082	0.022585	0.021554	0.020715	0.019117	0.018463	0.018504	0.018642	0.018058	0.018226	0.018150
0.032892	0.033191	0.032772	0.032217	0.031761	0.031110	0.031122	0.029270	0.027431	0.026055	0.025863	0.025412	0.023691	0.023305	0.021638	0.020713	0.020220	0.019943	0.019956	0.019776	0.019729
0.034487	0.035457	0.035980	0.035423	0.034383	0.034285	0.034673	0.032689	0.030174	0.028896	0.028687	0.028202	0.026506	0.025937	0.024277	0.023541	0.022707	0.021909	0.021437	0.021450	0.021600
0.037695	0.037266	0.038406	0.038895	0.037953	0.037034	0.037862	0.036217	0.033625	0.031771	0.032078	0.031202	0.029411	0.028982	0.027021	0.026428	0.025610	0.024686	0.023832	0.023122	0.023690
0.042761	0.040895	0.040397	0.041537	0.041447	0.040747	0.040905	0.040239	0.037507	0.035312	0.035442	0.035479	0.032671	0.032053	0.030379	0.029397	0.028687	0.028110	0.026593	0.025558	0.025613
0.050675	0.046011	0.044078	0.043844	0.044325	0.044854	0.044946	0.043582	0.042048	0.039371	0.039380	0.039255	0.036761	0.035268	0.033899	0.033324	0.032285	0.031377	0.030134	0.028721	0.028717
0.058286	0.055308	0.049820	0.047183	0.046784	0.048313	0.049112	0.048198	0.046136	0.044131	0.043762	0.043659	0.040632	0.039676	0.037516	0.037257	0.036594	0.035370	0.033650	0.032673	0.032260
0.063573	0.063967	0.059858	0.052821	0.051420	0.050820	0.053085	0.052896	0.051296	0.048449	0.048521	0.048971	0.045189	0.044226	0.042395	0.041216	0.040619	0.040037	0.037545	0.036862	0.036525
0.067359	0.070190	0.069738	0.063480	0.058520	0.055564	0.056521	0.056829	0.056202	0.054171	0.053623	0.054161	0.050463	0.049381	0.047252	0.046331	0.045286	0.045041	0.042346	0.041689	0.041357
0.070022	0.075555	0.076727	0.074126	0.070134	0.063282	0.062056	0.060114	0.060519	0.059810	0.059859	0.060411	0.055961	0.055441	0.052530	0.051832	0.051727	0.050074	0.047962	0.047827	0.046736
0.075930	0.078861	0.081906	0.082220	0.081408	0.075918	0.070918	0.066220	0.063837	0.064577	0.066572	0.068674	0.061913	0.061759	0.058663	0.057785	0.057677	0.056651	0.054157	0.054078	0.053342
0.083097	0.084766	0.085037	0.087936	0.089218	0.087846	0.084306	0.075813	0.069918	0.068475	0.073373	0.076712	0.069838	0.069126	0.065814	0.064885	0.064942	0.062974	0.062447	0.060354	0.060787
0.093105	0.092385	0.090629	0.091202	0.095414	0.096625	0.097109	0.092134	0.079097	0.075013	0.078486	0.084624	0.077345	0.078519	0.074299	0.073812	0.073163	0.071265	0.070469	0.068335	0.068513
0.102014	0.102528	0.099724	0.097498	0.098669	0.103412	0.107611	0.106524	0.095333	0.085170	0.085221	0.090683	0.085432	0.088307	0.085109	0.083138	0.082701	0.081417	0.079420	0.077049	0.078254
0.113459	0.112909	0.111967	0.107586	0.105742	0.107259	0.115285	0.117612	0.112394	0.102375	0.096487	0.098400	0.092467	0.097252	0.095555	0.095099	0.093294	0.092840	0.089335	0.086947	0.087964
0.125154	0.127117	0.122933	0.119941	0.115725	0.116080	0.120922	0.126642	0.126426	0.119029	0.115095	0.111121	0.100088	0.104772	0.105677	0.107528	0.107162	0.104702	0.101179	0.098094	0.099811
0.139617	0.140136	0.138111	0.132415	0.129802	0.127633	0.130988	0.132306	0.137537	0.131780	0.132333	0.133701	0.112613	0.113265	0.113099	0.118048	0.119719	0.119039	0.112021	0.110587	0.112563
0.152324	0.153870	0.151982	0.147994	0.142976	0.141474	0.142662	0.141463	0.143965	0.143325	0.147448	0.155219	0.134589	0.127183	0.123916	0.125431	0.131922	0.132286	0.128210	0.123226	0.127321
0.167402	0.166716	0.165163	0.164262	0.161548	0.156479	0.159135	0.154457	0.153382	0.149944	0.160398	0.174533	0.155693	0.154507	0.138723	0.138000	0.141185	0.144658	0.143710	0.140618	0.141735
0.182606	0.186245	0.178753	0.180535	0.178406	0.175473	0.175442	0.170841	0.162761	0.162434	0.167832	0.189131	0.175610	0.180485	0.164354	0.156996	0.154917	0.155232	0.157383	0.158949	0.160046
0.199776	0.201896	0.201926	0.194455	0.194583	0.195089	0.196211	0.187460	0.180173	0.178474	0.180737	0.197653	0.191796	0.202116	0.190266	0.186460	0.175442	0.168097	0.167812	0.172906	0.179216
0.217009	0.223679	0.220775	0.215570	0.209570	0.214416	0.218585	0.209382	0.198971	0.198388	0.194038	0.211340	0.201441	0.220388	0.212789	0.219511	0.210852	0.190173	0.185183	0.181463	0.194716
0.238266	0.244379	0.247960	0.234270	0.233645	0.234879	0.239335	0.230468	0.224727	0.215728	0.214940	0.227407	0.212630	0.226705	0.232579	0.246042	0.246209	0.232517	0.208633	0.196653	0.203558
0.262637	0.265462	0.266086	0.256650	0.252533	0.257101	0.261908	0.252667	0.248114	0.237514	0.238018	0.247642	0.226091	0.241195	0.244494	0.264120	0.277750	0.268307	0.248862	0.222204	0.216221
0.289604	0.287580	0.283036	0.281555	0.272375	0.281030	0.285041	0.276484	0.272016	0.261293	0.267812	0.270506	0.240381	0.260423	0.259711	0.270176	0.299528	0.301401	0.290622	0.268598	0.241543
0.317378	0.312191	0.304026	0.308176	0.295162	0.306472	0.310153	0.301687	0.296706	0.286546	0.285123	0.303388	0.261371	0.289795	0.275004	0.282247	0.311881	0.327568	0.321823	0.309598	0.288418
0.346514	0.342207	0.334692	0.337363	0.324561	0.335450	0.339312	0.330357	0.324460	0.313761	0.310592	0.338556	0.291260	0.319317	0.290139	0.299810	0.331983	0.335426	0.348498	0.336529	0.339402
0.375687	0.378928	0.379732	0.367940	0.362197	0.368474	0.374150	0.362488	0.356073	0.342191	0.321780	0.368375	0.320999	0.346975	0.319839	0.330299	0.350821	0.350955	0.359876	0.353169	0.372673
0.410698	0.414141	0.414931	0.402217	0.396090	0.402809	0.408844	0.396304	0.389359	0.374348	0.334518	0.380831	0.335907	0.369898	0.339501	0.357668	0.368529	0.368447	0.378890	0.366892	0.394440
0.448324	0.451064	0.452957	0.438936	0.432492	0.439052	0.446301	0.433022	0.425319	0.409583	0.350287	0.389623	0.348668	0.391467	0.361689	0.388518	0.388597	0.392241	0.402406	0.381090	0.410163
0.487696	0.490868	0.493506	0.477927	0.471404	0.478495	0.486641	0.471358	0.465050	0.447087	0.376677	0.409027	0.370113	0.420519	0.391421	0.423695	0.417793	0.425163	0.433809	0.406034	0.432007
0.583765	0.582301	0.585160	0.574746	0.566838	0.575101	0.582723	0.565534	0.556594	0.542219	0.497154	0.541867	0.495767	0.539646	0.506757	0.532837	0.539877	0.542878	0.552518	0.532527	0.481698
